Configuration,convolution_naive,HtoD,DtoH,Total_time,Kernel_time
(1_256_3),13316.0,0.0591,0.0461,13316.105,13316.000
(1_400_6),63883.6,0.0394,8.3689,63892.008,63883.600
(1_320_6),40130.299999999996,0.0261,3.1836,40133.510,40130.300
(1_256_6),25126.0,0.0178,0.0916,25126.109,25126.000
(1_128_6),5980.33,0.0096,0.0143,5980.354,5980.330
(1_32_6),326.89,0.002,0.0016,326.894,326.890
(1_256_9),46128.6,0.0174,5.7776,46134.395,46128.600
(1_64_9),2557.45,0.0037,0.0058,2557.459,2557.449
(1_256_12),66312.9,0.0174,5.6319,66318.549,66312.900
(1_64_12),3617.74,0.0035,0.0075,3617.751,3617.740
(3_150_16),79334.40000000001,0.0189,0.0844,79334.503,79334.400
(3_64_16),13086.9,0.0082,0.0094,13086.918,13086.900
(3_32_16),2911.37,0.0031,0.0029,2911.376,2911.370
(6_150_16),144519.0,0.0348,0.0798,144519.115,144519.000
(6_128_16),103785.0,0.0248,0.0592,103785.084,103785.000
(6_70_16),30985.5,0.0118,0.013,30985.525,30985.500
(6_32_16),5326.120000000001,0.0053,0.0027,5326.128,5326.120
(6_16_16),997.43,0.0031,0.0014,997.434,997.429
(6_8_16),120.79,0.0027,0.0007999999999999999,120.794,120.790
(6_32_32),18684.4,0.008,0.0053,18684.413,18684.400
(6_16_32),3566.9300000000003,0.0042,0.0015,3566.936,3566.930
(6_8_32),399.55,0.0039,0.000801,399.555,399.550
(16_32_32),48775.3,0.016,0.0051,48775.321,48775.300
(16_16_32),9203.18,0.0095,0.0015,9203.191,9203.180
(16_8_32),1074.29,0.0087,0.0007999999999999999,1074.300,1074.290
(16_32_64),95559.79999999999,0.0154,0.0086,95559.824,95559.800
(16_16_64),17942.699999999997,0.0102,0.0027,17942.713,17942.700
(16_8_64),2041.75,0.0081,0.0011,2041.759,2041.750
(32_32_64),202091.0,0.0236,0.012,202091.036,202091.000
(32_8_64),4188.96,0.0138,0.0014,4188.975,4188.960
