Configuration,convolution_tiling,DtoH,HtoD,Total_time,Kernel_time
(1_256_3),5.4250,0.0468,0.0179,21.811,21.746
(1_400_6),27.757,9.8455,0.0376,130.757,120.874
(1_320_6),17.691,7.6104,0.0261,86.011,78.374
(1_256_6),10.755,0.0872,0.018,43.212,43.107
(1_128_6),2.5770,0.0144,0.0099,10.347,10.323
(1_32_6),142.03,0.0014,0.0024,568.126,568.122
(1_256_9),16.152,1.5944,0.0181,67.815,66.203
(1_64_9),911.66,0.0058,0.0033,3646.655,3646.646
(1_256_12),21.478,4.5098,0.0184,94.950,90.422
(1_64_12),1.2132,0.0074,0.0032,4.871,4.860
(3_150_16),25.174,0.0786,0.0184,100.872,100.775
(3_64_16),4.1406,0.0094,0.0081,16.589,16.572
(3_32_16),917.37,0.0027,0.0032,3669.489,3669.483
(6_150_16),49.618,0.0759,0.0333,198.657,198.548
(6_128_16),33.999,0.0547,0.0274,136.133,136.051
(6_70_16),10.236,0.013,0.012,40.982,40.957
(6_32_16),1.7576,0.0026,0.0053,7.044,7.036
(6_16_16),339.35,0.0009609999999999999,0.0029,1357.407,1357.403
(6_8_16),51.223,0.0007689999999999999,0.0027,204.898,204.895
(6_32_32),3.5513,0.0052,0.0155,14.241,14.220
(6_16_32),653.76,0.0018,0.0041,2615.050,2615.044
(6_8_32),86.051,0.000801,0.0039,344.213,344.208
(16_32_32),9.3253,0.0053,0.0261,37.359,37.328
(16_16_32),1.7349,0.0015,0.0096,6.960,6.949
(16_8_32),200.80,0.000801,0.0083,803.217,803.208
(16_32_64),18.432,0.0091,0.0162,73.769,73.744
(16_16_64),3.4078,0.003,0.0096,13.653,13.640
(16_8_64),393.76,0.0018,0.0085,1575.059,1575.049
(32_32_64),40.525,0.0114,0.0228,162.157,162.123
(32_8_64),819.64,0.0018,0.015,3278.592,3278.575
