Configuration,gemmSN_NN_kernel,cudnn::winograd_nonfused::winogradForwardOutput9x9_5x5,cudnn::winograd_nonfused::winogradForwardData9x9_5x5,memset,HtoD,cudnn::winograd_nonfused::winogradForwardFilter9x9_5x5,DtoH,maxwell_sgemm_128x64_nn,maxwell_sgemm_128x32_nn,Total_time,Kernel_time
(1_256_3),60918.5,46290.5,38516.6,102.5,90.645,90.399,0.0535,,,146009.198,145816.000
(1_400_6),282074.0,256132.0,116308.0,56.193,74.91,139.58,3.2147,,,654787.898,654653.580
(1_320_6),177739.0,161473.0,74727.8,111.0,90.092,138.01,1.7699,,,414280.672,414077.810
(1_256_6),108925.0,93454.3,38365.200000000004,110.19,94.153,132.52,0.1016,,,241081.465,240877.020
(1_128_6),35974.600000000006,21001.4,7082.5199999999995,63.038,81.166,151.01,0.0389,,,64353.773,64209.530
(1_32_6),10942.1,8687.939999999999,2170.98,194.67,161.73,347.33,0.015,,,22504.765,22148.350
(1_256_9),161004.0,141496.0,38841.1,58.31,75.907,156.75,2.0478,,,341634.115,341497.850
(1_64_9),27780.6,17417.3,3612.4,152.02,125.87,282.59,0.0394,,,49370.819,49092.890
(1_256_12),209035.0,189027.0,38493.6,104.87,95.206,177.6,1.6829,,,436934.959,436733.200
(1_64_12),28103.899999999998,17678.0,2909.9,127.3,103.3,273.82,0.0395,,,49196.260,48965.621
(3_150_16),120138.0,75534.2,31378.3,105.08,90.51,233.21,0.0979,,,227479.398,227283.710
(3_64_16),36301.6,19814.5,7271.63,106.0,96.333,283.57,0.0308,,,63873.664,63671.300
(3_32_16),22768.4,15560.5,4436.57,138.4,130.29,515.89,0.0298,,,43550.080,43281.360
(6_150_16),138149.0,75719.6,63680.100000000006,106.6,95.801,233.51,0.0916,,,277984.703,277782.210
(6_128_16),93222.5,49246.200000000004,35633.899999999994,101.17,89.266,227.01,0.0675,,,178520.114,178329.610
(6_70_16),39058.3,15759.6,13001.9,118.39,100.05,239.51,0.0326,,,68277.783,68059.310
(6_32_16),25443.100000000002,15262.9,8562.16,143.72,134.35,508.52,0.0296,,,50054.780,49776.680
(6_16_16),10188.2,4932.64,2215.83,142.6,139.82,731.45,0.0133,,,18350.553,18068.120
(6_8_16),7467.52,4647.44,1839.6699999999998,152.49,150.07,692.0,0.0126,,,14949.203,14646.630
(6_32_32),,27609.4,7839.299999999999,139.0,119.91,820.13,0.0351,,8725.03,45252.805,44993.860
(6_16_32),,17452.2,3848.54,238.96,164.7,2366.75,0.043,18761.0,,42832.193,42428.490
(6_8_32),,17279.2,3352.27,281.6,192.55,2355.89,0.0155,18629.100000000002,,42090.626,41616.460
(16_32_32),,23639.0,18149.4,132.01,112.92,706.77,0.0345,,8491.77,51231.904,50986.939
(16_16_32),,9664.67,5559.389999999999,129.68,101.51,1329.46,0.0144,12012.0,,28796.724,28565.520
(16_8_32),,9920.619999999999,4947.0599999999995,157.18,153.88,1402.6000000000001,0.011,12520.699999999999,,29102.051,28790.980
(16_32_64),,34992.7,13808.400000000001,111.98,101.45,1035.1999999999998,0.0316,10038.4,,60088.162,59874.700
(16_16_64),,34820.1,10266.7,247.15,247.36,4623.24,0.0311,21921.1,,72125.681,71631.140
(16_8_64),,23146.8,5855.1,197.06,173.13,3114.0,0.0177,14475.9,,46962.008,46591.800
(32_32_64),,28926.9,23264.199999999997,122.99,104.75,1046.48,0.0307,11198.4,,64663.751,64435.980
(32_8_64),,12737.1,6478.74,189.72,144.38,2007.8299999999997,0.0184,11089.2,,32646.988,32312.870
