Configuration,kernel_conv_filter,HtoD,DtoH,Total_time,Kernel_time
(1_256_3),3540.58,0.059,0.0454,3540.684,3540.580
(1_400_6),14994.400000000001,0.0389,9.6572,15004.096,14994.400
(1_320_6),9522.39,0.025,5.7363,9528.151,9522.390
(1_256_6),6102.48,0.0171,0.0901,6102.587,6102.480
(1_128_6),1478.65,0.01,0.0144,1478.674,1478.650
(1_32_6),90.065,0.0021,0.0014,90.069,90.066
(1_256_9),8937.98,0.0218,5.4911,8943.493,8937.980
(1_64_9),514.89,0.0035,0.0061,514.900,514.890
(1_256_12),10551.6,0.0178,5.6451,10557.263,10551.600
(1_64_12),593.87,0.0034,0.0074,593.881,593.870
(3_150_16),11101.5,0.0198,0.0796,11101.599,11101.500
(3_64_16),1813.47,0.0084,0.0094,1813.488,1813.470
(3_32_16),414.12,0.0036,0.0031,414.127,414.120
(6_150_16),19415.5,0.035,0.081,19415.616,19415.500
(6_128_16),13172.599999999999,0.0262,0.0557,13172.682,13172.600
(6_70_16),4278.52,0.0109,0.0127,4278.544,4278.520
(6_32_16),722.78,0.0055,0.0027,722.788,722.780
(6_16_16),154.4,0.0034,0.001,154.404,154.400
(6_8_16),46.33,0.003,0.000801,46.334,46.330
(6_32_32),1457.79,0.0151,0.0047,1457.810,1457.790
(6_16_32),288.23,0.0043,0.0014,288.236,288.230
(6_8_32),65.808,0.004,0.000897,65.813,65.808
(16_32_32),3451.6800000000003,0.0226,0.0048,3451.707,3451.680
(16_16_32),696.75,0.0099,0.0014,696.761,696.750
(16_8_32),148.05,0.0085,0.0007999999999999999,148.059,148.050
(16_32_64),6583.75,0.0172,0.0084,6583.776,6583.750
(16_16_64),1334.53,0.0109,0.0029,1334.544,1334.530
(16_8_64),278.04,0.0089,0.0013,278.050,278.040
(32_32_64),13726.2,0.0254,0.0114,13726.237,13726.200
(32_8_64),535.04,0.0144,0.0015,535.056,535.040
