Configuration,kernel_conv_filter,sgemm_32x32x32_NN_vec,ker2row_kernel,im2col_gpu_kernel,sgemm_32x32x32_NN,maxwell_sgemm_64x64_nn,gemmSN_NN_kernel
(1_256_3),0.883638,,0.022091,0.279539,,,0.485833
(1_400_6),0.864660,,0.044514,0.272303,0.183294,,
(1_320_6),0.865389,,0.046508,0.194821,0.183308,,
(1_256_6),0.844360,,0.044930,0.116770,0.183103,,
(1_128_6),0.835104,,0.046473,0.077585,0.182983,,
(1_32_6),0.608401,,0.045837,0.070392,0.174676,,
(1_256_9),0.800787,,0.061864,0.124576,0.182793,,
(1_64_9),0.765036,,0.060822,0.123246,0.181977,,
(1_256_12),0.796946,,0.085820,0.155806,0.183430,,
(1_64_12),0.725101,,0.091114,0.154445,0.182228,,
(3_150_16),0.523679,,0.319268,0.202231,0.183890,,
(3_64_16),0.577902,,0.329484,0.201345,0.183278,,
(3_32_16),0.510165,,0.325941,0.194871,0.178023,,
(6_150_16),0.671601,,0.488554,0.202698,0.184764,,
(6_128_16),0.627635,,0.502917,0.202648,0.184331,,
(6_70_16),0.520113,,0.440967,0.201344,0.183526,,
(6_32_16),0.500235,,0.467314,0.197379,0.176947,,
(6_16_16),0.466761,,0.411610,0.148760,0.154036,,
(6_8_16),0.140653,,0.415944,0.057092,0.062451,,
(6_32_32),0.499087,,0.668000,0.372069,0.176937,,
(6_16_32),0.472996,,0.655251,0.244556,0.150289,,
(6_8_32),0.266479,,0.673771,0.079017,0.062451,,
(16_32_32),0.494579,0.174627,0.672914,0.378820,,,
(16_16_32),0.471893,0.152976,0.680664,0.364278,,,
(16_8_32),0.256509,0.062453,0.681929,0.164728,,,
(16_32_64),0.901529,0.180544,0.702891,0.472311,,,
(16_16_64),0.906837,,0.705914,0.385150,,0.046809,
(16_8_64),0.484028,0.062465,0.713613,0.159726,,,
(32_32_64),0.950942,0.178641,0.608607,0.490190,,,
(32_8_64),0.490738,0.062476,0.613494,0.270224,,,
