Configuration,kernel_conv_filter,sgemm_32x32x32_NN_vec,ker2row_kernel,im2col_gpu_kernel,sgemm_32x32x32_NN,maxwell_sgemm_64x64_nn,gemmSN_NN_kernel
(1_256_3),1,,1,2,,,4
(1_400_6),1,,1,3,2,,
(1_320_6),1,,1,3,2,,
(1_256_6),1,,1,2,2,,
(1_128_6),1,,1,1,2,,
(1_32_6),1,,1,1,1,,
(1_256_9),1,,1,2,1,,
(1_64_9),1,,1,1,2,,
(1_256_12),1,,1,2,2,,
(1_64_12),1,,1,1,2,,
(3_150_16),1,,1,1,2,,
(3_64_16),1,,1,2,3,,
(3_32_16),1,,1,1,1,,
(6_150_16),1,,1,2,3,,
(6_128_16),1,,1,2,3,,
(6_70_16),1,,1,2,3,,
(6_32_16),1,,1,1,2,,
(6_16_16),1,,1,1,1,,
(6_8_16),1,,1,1,1,,
(6_32_32),1,,1,1,2,,
(6_16_32),1,,1,1,1,,
(6_8_32),1,,1,1,1,,
(16_32_32),1,2,1,1,,,
(16_16_32),1,1,1,1,,,
(16_8_32),1,1,1,1,,,
(16_32_64),1,1,1,1,,,
(16_16_64),1,,1,1,,1,
(16_8_64),1,1,1,1,,,
(32_32_64),1,4,1,1,,,
(32_8_64),1,2,1,1,,,
