Configuration,kernel_conv_filter,sgemm_32x32x32_NN_vec,ker2row_kernel,im2col_gpu_kernel,sgemm_32x32x32_NN,maxwell_sgemm_64x64_nn,gemmSN_NN_kernel
(1_256_3),19.99,,32.33,77.21,,,97.38
(1_400_6),16.52,,17.20,80.94,24.74,,
(1_320_6),16.52,,17.20,80.81,24.74,,
(1_256_6),16.52,,17.20,80.61,24.74,,
(1_128_6),16.53,,17.20,79.56,24.74,,
(1_32_6),16.57,,17.20,73.91,24.74,,
(1_256_9),15.25,,15.80,79.10,24.78,,
(1_64_9),15.26,,15.80,76.43,24.78,,
(1_256_12),14.59,,15.12,81.63,24.73,,
(1_64_12),14.60,,15.12,79.45,24.73,,
(3_150_16),14.01,,12.58,80.39,22.01,,
(3_64_16),14.09,,12.58,79.45,23.73,,
(3_32_16),14.10,,12.58,75.62,23.72,,
(6_150_16),14.01,,12.53,80.38,22.17,,
(6_128_16),14.08,,12.53,81.07,23.94,,
(6_70_16),14.01,,12.53,78.42,22.16,,
(6_32_16),14.10,,12.53,75.70,23.92,,
(6_16_16),14.12,,12.53,67.84,23.86,,
(6_8_16),14.22,,12.53,50.00,23.44,,
(6_32_32),13.31,,12.50,76.09,23.42,,
(6_16_32),13.32,,12.50,68.18,23.36,,
(6_8_32),13.37,,12.50,50.00,22.96,,
(16_32_32),13.31,100.00,12.50,76.09,,,
(16_16_32),13.32,100.00,12.50,68.18,,,
(16_8_32),13.37,100.00,12.50,50.00,,,
(16_32_64),12.91,100.00,12.50,76.09,,,
(16_16_64),12.91,,12.50,68.18,,100.00,
(16_8_64),12.94,100.00,12.50,50.00,,,
(32_32_64),12.91,100.00,12.50,76.09,,,
(32_8_64),12.94,100.00,12.50,50.00,,,
