Configuration,kernel_conv_filter,sgemm_32x32x32_NN_vec,ker2row_kernel,im2col_gpu_kernel,sgemm_32x32x32_NN,maxwell_sgemm_64x64_nn,gemmSN_NN_kernel
(1_256_3),0.00,,0.00,0.00,,,4.78
(1_400_6),0.00,,0.00,0.00,78.06,,
(1_320_6),0.00,,0.00,0.00,78.07,,
(1_256_6),0.00,,0.00,0.00,78.06,,
(1_128_6),0.00,,0.00,0.00,78.07,,
(1_32_6),0.00,,0.00,0.00,77.85,,
(1_256_9),0.00,,0.00,0.00,79.07,,
(1_64_9),0.00,,0.00,0.00,78.97,,
(1_256_12),0.00,,0.00,0.00,80.09,,
(1_64_12),0.00,,0.00,0.00,79.96,,
(3_150_16),0.00,,0.00,0.00,77.57,,
(3_64_16),0.00,,0.00,0.00,78.37,,
(3_32_16),0.00,,0.00,0.00,78.14,,
(6_150_16),0.00,,0.00,0.00,75.79,,
(6_128_16),0.00,,0.00,0.00,76.01,,
(6_70_16),0.00,,0.00,0.00,75.91,,
(6_32_16),0.00,,0.00,0.00,76.95,,
(6_16_16),0.00,,0.00,0.00,78.02,,
(6_8_16),0.00,,0.00,0.00,76.56,,
(6_32_32),0.00,,0.00,0.00,77.39,,
(6_16_32),0.00,,0.00,0.00,78.72,,
(6_8_32),0.00,,0.00,0.00,76.71,,
(16_32_32),0.00,5.66,0.00,0.00,,,
(16_16_32),0.00,12.07,0.00,0.00,,,
(16_8_32),0.00,0.00,0.00,0.00,,,
(16_32_64),0.00,2.49,0.00,0.00,,,
(16_16_64),0.00,,0.00,0.00,,49.99,
(16_8_64),0.00,0.00,0.00,0.00,,,
(32_32_64),0.00,2.97,0.00,0.00,,,
(32_8_64),0.00,0.00,0.00,0.00,,,
