Configuration,kernel_conv_filter,sgemm_32x32x32_NN_vec,ker2row_kernel,im2col_gpu_kernel,sgemm_32x32x32_NN,maxwell_sgemm_64x64_nn,gemmSN_NN_kernel
(1_256_3),50.00,,14.42,78.13,,,100.00
(1_400_6),50.00,,13.79,83.34,100.00,,
(1_320_6),50.00,,13.79,83.35,100.00,,
(1_256_6),50.00,,13.59,83.34,100.00,,
(1_128_6),50.00,,13.79,83.38,100.00,,
(1_32_6),50.00,,13.49,85.22,100.00,,
(1_256_9),50.00,,13.85,80.12,100.00,,
(1_64_9),50.00,,13.85,80.07,100.00,,
(1_256_12),50.00,,12.50,88.25,100.00,,
(1_64_12),50.00,,12.50,88.24,100.00,,
(3_150_16),39.67,,12.50,88.87,88.88,,
(3_64_16),50.00,,12.50,100.00,100.00,,
(3_32_16),50.00,,12.50,100.00,100.00,,
(6_150_16),39.67,,12.50,88.88,88.88,,
(6_128_16),50.00,,12.51,100.00,100.00,,
(6_70_16),39.29,,12.50,88.77,88.83,,
(6_32_16),50.00,,12.50,100.00,100.00,,
(6_16_16),50.00,,12.50,100.00,100.00,,
(6_8_16),100.00,,12.50,100.00,100.00,,
(6_32_32),50.00,,12.50,100.00,100.00,,
(6_16_32),50.00,,12.50,100.00,100.00,,
(6_8_32),100.00,,12.50,100.00,100.00,,
(16_32_32),50.00,100.00,12.50,100.00,,,
(16_16_32),50.00,100.00,12.50,100.00,,,
(16_8_32),100.00,100.00,12.50,100.00,,,
(16_32_64),50.00,100.00,12.50,100.00,,,
(16_16_64),50.00,,12.50,100.00,,100.00,
(16_8_64),100.00,100.00,12.50,100.00,,,
(32_32_64),50.00,100.00,12.50,100.00,,,
(32_8_64),100.00,100.00,12.50,100.00,,,
