Configuration,kernel_conv_filter,sgemm_32x32x32_NN_vec,ker2row_kernel,im2col_gpu_kernel,sgemm_32x32x32_NN,maxwell_sgemm_64x64_nn,gemmSN_NN_kernel
(1_256_3),1666980,,279,1466157,,,1620158
(1_400_6),6213834,,558,3017117,16212508,,
(1_320_6),3956794,,558,1921234,10324268,,
(1_256_6),2607633,,558,1221750,6566380,,
(1_128_6),631377,,558,296082,1591148,,
(1_32_6),32193,,558,15660,82700,,
(1_256_9),4274613,,846,1303123,6566380,,
(1_64_9),242325,,846,73984,373804,,
(1_256_12),5215266,,1128,1221670,6566380,,
(1_64_12),295650,,1128,69400,373804,,
(3_150_16),4401335,,5760,1199215,3929964,,
(3_64_16),719775,,5760,202735,665796,,
(3_32_16),156751,,5760,44060,147300,,
(6_150_16),7574677,,9520,2398798,5653492,,
(6_128_16),5301837,,9520,1730054,4076956,,
(6_70_16),1599037,,9520,490659,1161212,,
(6_32_16),270333,,9520,88490,211900,,
(6_16_16),49536,,9520,16364,42380,,
(6_8_16),5195,,9520,1869,8476,,
(6_32_32),535913,,19040,85219,211900,,
(6_16_32),98208,,19040,15979,42380,,
(6_8_32),10311,,19040,1977,8476,,
(16_32_32),1278361,447900,44096,226584,,,
(16_16_32),234576,89580,44096,41944,,,
(16_8_32),25463,17916,44096,4897,,,
(16_32_64),2517130,895800,88192,226696,,,
(16_16_64),462042,,88192,42056,,189198,
(16_8_64),50408,35832,88192,4960,,,
(32_32_64),4904116,1639800,169600,452880,,,
(32_8_64),99122,65592,169600,9632,,,
