Configuration,fft2d_r2c_32x32,DSE::vector_fft,trt_maxwell_scudnn_128x128_relu_large_nn_v0,trt_maxwell_scudnn_128x128_relu_large_nn_v1,fused::fusedConvolutionReluKernel,cask_trt::computeOffsetsKernel,trt_maxwell_scudnn_128x128_relu_small_nn_v0,trt_maxwell_scudnn_128x128_relu_small_nn_v1,op_generic_tensor_kernel,cudnn::cnn::conv2d_grouped_direct_kernel,trt_maxwell_scudnn_128x64_relu_interior_nn_v0,trt_maxwell_scudnn_128x64_relu_interior_nn_v1,gemv2T_kernel_val,DSE::regular_fft_pad,trt_maxwell_scudnn_128x128_relu_interior_nn_v0,trt_maxwell_scudnn_128x128_relu_interior_nn_v1,trt_maxwell_scudnn_128x64_relu_medium_nn_v0,trt_maxwell_scudnn_128x64_relu_medium_nn_v1,trt_maxwell_scudnn_128x128_relu_medium_nn_v0,trt_maxwell_scudnn_128x128_relu_medium_nn_v1,CUTENSOR_NAMESPACE::permutationKernelPLC3,implicit_convolve_sgemm,trt_maxwell_scudnn_128x32_relu_large_nn_v0,trt_maxwell_scudnn_128x64_relu_large_nn_v0,trt_maxwell_scudnn_128x32_relu_large_nn_v1,trt_maxwell_scudnn_128x64_relu_large_nn_v1,fft2d_c2r_32x32,trt_maxwell_scudnn_128x32_relu_small_nn_v0,gemv2N_kernel,trt_maxwell_scudnn_128x32_relu_small_nn_v1,trt_maxwell_scudnn_128x64_relu_small_nn_v0,trt_maxwell_scudnn_128x64_relu_small_nn_v1,transpose_readWrite_alignment_kernel,genericReformat::copyPackedKernel,trt_maxwell_scudnn_128x32_relu_interior_nn_v0,trt_maxwell_scudnn_128x32_relu_interior_nn_v1,trt_maxwell_scudnn_128x32_relu_medium_nn_v0,trt_maxwell_scudnn_128x32_relu_medium_nn_v1,DSE::regular_fft_clip,flip_filter,fft2d_c2r_64x64,cudnn::cnn::im2col4d_kernel,explicit_convolve_sgemm,fft2d_r2c_64x64,fft2d_r2c_16x16,fft2d_c2r_16x16,trt_maxwell_scudnn_128x64_sliced1x2_ldg4_relu_exp_small_nhwc_tn_v1,trt_maxwell_scudnn_128x64_sliced1x2_ldg4_relu_exp_interior_nhwc_tn_v1,trt_maxwell_scudnn_128x32_sliced1x4_ldg4_relu_exp_interior_nhwc_tn_v1,trt_maxwell_scudnn_128x32_sliced1x4_ldg4_relu_exp_small_nhwc_tn_v1,maxwell_scudnn_128x32_relu_small_nn_v1,cask_cudnn::computeOffsetsKernel
(1_256_3),2884,83800,15670389,15284736,5122453,218771,15447615,15042135,744741,4466767,7149370,7705956,24933949,136800,15129630,14827396,7495274,8000212,15606724,15217012,322896,6868567,4712157,7545064,4492283,8063828,4101,4535182,448970,4267574,7368041,7833227,1862170,816511,4316571,4144361,4662381,4430627,377948,,,,,,,,,,,,,
(1_400_6),5412,,38655163,37703590,12611987,539479,38105555,37105449,3588517,22054189,17635506,19008647,,,37321000,36575807,18488854,19734337,38498028,37536976,787118,17237476,11623298,18611528,11081105,19891403,7761,11186701,448968,10526925,18174927,19322430,,4029342,10647386,10222980,11500557,10929068,,,,,,,,,,,,,,
(1_320_6),5413,,24624667,24018435,8064286,343733,24274553,23637380,2285533,14043862,11234530,12109251,,,23774747,23300045,11778061,12571506,24524600,23912393,504101,10977115,7404583,11856298,7059142,12671563,7755,7126459,448971,6706073,11578082,12309129,,2566088,6782873,6512399,7326394,6962263,,,,,,,,,,,,,,
(1_256_6),5414,146038,15670396,15284524,5122555,218770,15447890,15042222,1453937,8931573,7149362,7705998,29128100,233523,15129532,14827344,7495318,8000274,15606847,15217121,11551917,6981697,4712166,7545087,4492317,8063794,7838,4535244,448967,4267674,7368045,7833205,1862119,1632162,4316579,4144411,4662464,4430616,755650,,,,,,,,,,,,,
(1_128_6),5412,51951,3815467,3721481,1232976,53316,3761183,3662448,382249,2163470,1740937,1876347,7338784,55628,3683774,3610142,1825071,1948077,3799950,3704969,2803569,1691963,1147578,1837200,1093927,1963521,7676,1104476,448968,1039266,1794098,1907337,469431,395900,1051326,1009189,1135451,1078922,181889,,,,,,,,,,,,,
(1_32_6),5413,,221124,215632,69867,2979,217956,212240,44864,111113,101027,108846,480216,,213476,209300,105904,112987,220260,214709,5170,88227,66749,106644,63446,113884,7829,64215,448960,60275,104114,110637,,20918,61133,58541,66007,62577,,336,,,,,,,,,,,,
(1_256_9),7948,208576,15670468,15284685,5122402,218771,15447715,15042139,2180508,13397335,7149398,7705937,54061633,330413,15129613,14827445,7495271,8000275,15606714,15217126,322991,6981626,4712114,7545063,4492312,8063815,11568,4535246,448969,4267593,7368031,7833168,1862136,2447885,4316529,4144342,4662415,4430666,1133432,,,,,,,,,,,,,
(1_64_9),7944,,914741,892174,285334,12834,901716,878094,152278,760757,417529,449986,3457830,,883194,865500,437712,467141,910996,888310,20671,397707,275420,440664,262373,470823,10989,265105,448971,249277,430290,457392,119458,139597,252383,242090,272536,258767,,504,74148,,,32452,,,,,,,,
(1_256_12),10472,270829,15670673,15284600,5122533,218755,15447573,15042157,2906773,,7149363,7705996,58255662,427114,15129565,14827434,7495280,8000252,15606662,15217115,11830872,6981737,4712158,7545050,4492237,8063875,15288,4535138,448968,4267504,7368025,7833207,1862186,3263510,4316585,4144415,4662418,4430628,1511186,,,2282012,15792450,,,,,,,,4259731,218756
(1_64_12),10479,,914809,892186,285343,12830,901718,878138,194198,,417531,449973,3726062,,883225,865513,437769,467151,911049,888234,679047,397760,275424,440691,262368,470905,14522,265067,448970,249251,430289,457386,119466,185789,252379,242078,272499,258772,,672,98916,131174,905058,42093,,,,,,,,
(3_150_16),39713,,10171708,10041955,8870692,73742,10008557,9872337,1301498,,4895584,5062614,,,9821572,9720089,5156147,5285625,10126183,9995173,4201808,5264996,3154851,5196939,2990660,5331015,19216,3007246,467467,2826985,5049279,5165416,,1460953,2853620,2719469,3114110,2945872,,,,1763817,10489266,,,,,,,,2824273,73748
(3_64_16),39709,,1766741,1744082,501272,12848,1738368,1714791,249853,,850456,879453,4262582,,1705830,1688228,895730,918133,1758722,1735982,741787,892182,548259,902802,519587,926116,18659,522592,467468,491123,877120,897254,119454,247488,495982,472459,541151,511905,,2688,131651,299915,1788723,163904,,,,,,,,
(3_32_16),39716,,426755,421253,359313,2977,419895,414162,75203,,205529,212508,1098235,,412054,407897,216448,221857,424817,419318,178055,197630,132592,218196,125522,223757,19701,126374,467456,118653,211965,216809,,54472,119932,114150,130887,123644,,2688,,66677,406742,,,,,,,,,
(6_150_16),79167,,17530425,17400880,16708095,73760,17235080,17099105,1301536,,8842838,8772005,,,16927972,16826633,9331819,9181493,17449000,17318005,4232675,9643350,5642534,9410716,5212120,9262993,19215,5355290,484331,4916185,9123391,8965016,,1460991,5074757,4709511,5563673,5131418,,,,3258449,18257270,,,,,,,,4913463,73744
(6_128_16),79164,752795,12702032,12607799,11940683,53315,12487937,12389257,949290,,6407100,6355931,16790397,791571,12265256,12191559,6761469,6652591,12642634,12547832,3067326,6954251,4088422,6818698,3776458,6711650,19273,3880292,484331,3562079,6610495,6495764,669829,1054033,3677100,3412347,4031313,3717892,484684,,,2350603,13173000,,,,,,,,3560088,53318
(6_70_16),79167,752801,3674310,3647204,3496540,15484,3612442,3583882,296789,,1853573,1838783,16790440,785083,3548110,3526761,1956090,1924606,3657319,3629784,901305,1980924,1183027,1972609,1092554,1941656,18925,1122713,484335,1030526,1912448,1879222,669825,299185,1064000,987219,1166391,1075611,365127,,,670018,3770414,,,,,,,,,
(6_32_16),79139,,735202,729702,678777,2979,722799,717074,75247,,370983,367983,1098201,,709916,705641,391478,385146,731755,726257,179499,361743,236870,394820,218635,388559,19703,224792,484320,206230,382738,376072,,54468,213032,197561,233529,215244,,5312,,122714,709115,,,,,,,,,
(6_16_16),79169,,210165,208596,135537,631,206656,204976,35536,,106000,105193,291000,,202928,201708,111856,110056,209168,207600,43376,72392,67689,112818,62470,111033,18734,64232,484320,58924,109361,107464,,10449,60872,56448,66772,61500,,5312,,25024,162298,,17188,10704,,,,,,
(6_8_16),79175,,105080,104296,22268,244,103304,102488,27203,,53000,52577,291001,,101464,100856,55928,55029,104584,103797,12208,14479,33844,56408,31234,55516,17712,32117,484320,29462,54681,53732,,1192,30436,28224,33366,30750,,5312,,5635,52837,,17303,5536,,,,,,
(6_32_32),158083,,735202,729691,678777,2979,722798,717065,123868,,370980,367991,2195993,,709917,705630,391477,385138,731753,726244,182105,367387,236870,394815,218689,388564,39402,224794,968500,206228,382734,376075,,108185,213033,197562,233527,215283,,10496,,122715,714663,,,,,,,,,
(6_16_32),158082,,210162,208592,135543,631,206608,204976,44471,,106000,105157,581593,,202928,201712,111856,110059,209168,207594,43990,73518,67691,112816,62470,111033,37558,64232,968517,58924,109360,107464,,20501,60908,56448,66728,61500,,10496,,25024,163416,,33355,21408,,,,,,
(6_8_32),158078,,105082,104296,22268,244,103304,102488,28298,,53000,52577,581594,,101464,100855,55928,55028,104584,103800,12400,14706,33845,56409,31247,55517,35494,32116,968480,29460,54704,53732,,2384,30436,28224,33364,30750,,10496,,5638,53060,,33472,11072,,,,,,
(16_32_32),421224,,1794389,1791379,1759444,2979,1762884,1759621,123914,,909759,902852,2195992,,1733095,1730676,961277,947207,1785736,1782732,175129,923029,575948,969837,539150,955857,39382,544775,1140416,507648,938653,924242,,108175,515881,484351,567400,530591,,27776,,319968,1756048,,,,883316,871712,927381,931416,,
(16_16_32),421118,,512789,511916,351312,631,503786,502848,44521,,259973,257973,581624,,495264,494558,274693,270640,510304,509440,42223,184660,164569,277105,154045,273106,37478,155659,1140384,145062,268199,264112,,20501,147400,138388,162125,151588,,27776,,64975,403726,,81803,21408,252447,249136,265104,266256,,
(16_8_32),421169,,256394,255958,58255,244,251890,251424,28304,,129968,128985,581635,,247632,247278,137328,135322,255178,254720,11960,36930,82285,138553,77022,136554,35462,77829,1140402,72530,134100,132053,,2384,73700,69194,81061,75794,,27776,,14257,133167,,82112,11072,126246,124568,132552,133128,,
(16_32_64),841989,,1794409,1791394,1759445,2979,1762887,1759658,221092,,909756,902873,4391671,,1733148,1730672,961276,947188,1785779,1782800,169893,1845718,1151638,969821,1078218,955813,78509,1089339,2280675,1015282,938651,924227,,215586,1031658,968683,1134586,1061020,,55424,,319937,1767253,,,,883252,871659,1854643,1862765,,
(16_16_64),842108,,512789,511914,351305,631,503777,502848,62455,,259936,257970,1162898,,495264,494557,274656,270640,510304,509440,41521,369274,329137,277105,308089,273106,74630,311313,2280662,290088,268199,264080,,40243,294796,276776,324238,303208,,55424,,64980,406000,,161299,42785,252447,249136,530016,532320,,
(16_8_64),842056,,256394,255984,58253,244,251890,251424,30461,,129968,128984,1162775,,247649,247309,137328,135320,255152,254720,12152,73860,164568,138552,154047,136553,70630,155661,2280672,145063,134097,132040,,4756,147400,138388,162122,151588,,55424,,14257,133613,,161589,22114,126224,124568,265104,266256,,
(32_32_64),1683713,,3508035,3505005,3317583,2978,3445756,3442501,221143,,1780591,1766662,,,3387936,3385476,1882540,1854414,3491048,3487966,170894,4367843,2249235,1899473,2112870,1871429,78512,2125370,2254572,1988270,1837454,1809043,,215584,2011625,1895432,2215429,2078858,,,,639474,3446888,,,,1717708,1694856,1776975,1827920,1988075,2981
(32_8_64),1683782,,501192,500762,110188,244,492288,491856,30454,,254368,252384,1130539,,484032,483680,268989,264921,498773,498318,12216,145258,321418,271352,301862,267352,70598,303656,2254496,284044,262496,258441,,4754,287400,270788,316561,296988,,110720,,28451,262813,,323059,22110,245424,242245,253999,261296,,
