Configuration,kernel_conv_filter,sgemm_32x32x32_NN_vec,ker2row_kernel,im2col_gpu_kernel,sgemm_32x32x32_NN,maxwell_sgemm_64x64_nn,gemmSN_NN_kernel
(1_256_3),140.000000,,93.000000,4.0727e+04,,,407.894763
(1_400_6),126.800000,,93.000000,8.6203e+04,827.000000,,
(1_320_6),126.800000,,93.000000,7.6849e+04,827.000000,,
(1_256_6),131.400000,,93.000000,8.1450e+04,827.000000,,
(1_128_6),131.400000,,93.000000,5.9216e+04,827.000000,,
(1_32_6),131.400000,,93.000000,3.1320e+03,827.000000,,
(1_256_9),134.625000,,94.000000,8.1445e+04,827.000000,,
(1_64_9),134.625000,,94.000000,9.2480e+03,827.000000,,
(1_256_12),131.400000,,94.000000,1.2217e+05,827.000000,,
(1_64_12),131.400000,,94.000000,6.9400e+03,827.000000,,
(3_150_16),247.307692,,120.000000,9.2247e+04,1.4730e+03,,
(3_64_16),246.076923,,120.000000,1.5595e+04,1.4730e+03,,
(3_32_16),246.076923,,120.000000,3.3892e+03,1.4730e+03,,
(6_150_16),425.615385,,119.000000,1.8452e+05,2.1190e+03,,
(6_128_16),424.384615,,119.000000,1.3308e+05,2.1190e+03,,
(6_70_16),425.615385,,119.000000,3.7743e+04,2.1190e+03,,
(6_32_16),424.384615,,119.000000,6.8069e+03,2.1190e+03,,
(6_16_16),423.384615,,119.000000,1.2588e+03,2.1190e+03,,
(6_8_16),399.615385,,119.000000,143.769231,2.1190e+03,,
(6_32_32),437.480000,,119.000000,3.4088e+03,2.1190e+03,,
(6_16_32),436.480000,,119.000000,639.160000,2.1190e+03,,
(6_8_32),412.440000,,119.000000,79.080000,2.1190e+03,,
(16_32_32),1.0436e+03,4.4790e+03,106.000000,9.0634e+03,,,
(16_16_32),1.0426e+03,4.4790e+03,106.000000,1.6778e+03,,,
(16_8_32),1.0185e+03,4.4790e+03,106.000000,195.880000,,,
(16_32_64),1.6053e+03,4.4790e+03,106.000000,7.0842e+03,,,
(16_16_64),1.6043e+03,,106.000000,1.3142e+03,,3.1533e+04,
(16_8_64),1.5752e+03,4.4790e+03,106.000000,155.000000,,,
(32_32_64),3.1276e+03,8.1990e+03,106.000000,1.4152e+04,,,
(32_8_64),3.0976e+03,8.1990e+03,106.000000,301.000000,,,
