Configuration,fft2d_r2c_32x32,DSE::vector_fft,trt_maxwell_scudnn_128x128_relu_large_nn_v0,trt_maxwell_scudnn_128x128_relu_large_nn_v1,fused::fusedConvolutionReluKernel,cask_trt::computeOffsetsKernel,trt_maxwell_scudnn_128x128_relu_small_nn_v0,trt_maxwell_scudnn_128x128_relu_small_nn_v1,op_generic_tensor_kernel,cudnn::cnn::conv2d_grouped_direct_kernel,trt_maxwell_scudnn_128x64_relu_interior_nn_v0,trt_maxwell_scudnn_128x64_relu_interior_nn_v1,gemv2T_kernel_val,DSE::regular_fft_pad,trt_maxwell_scudnn_128x128_relu_interior_nn_v0,trt_maxwell_scudnn_128x128_relu_interior_nn_v1,trt_maxwell_scudnn_128x64_relu_medium_nn_v0,trt_maxwell_scudnn_128x64_relu_medium_nn_v1,trt_maxwell_scudnn_128x128_relu_medium_nn_v0,trt_maxwell_scudnn_128x128_relu_medium_nn_v1,CUTENSOR_NAMESPACE::permutationKernelPLC3,implicit_convolve_sgemm,trt_maxwell_scudnn_128x32_relu_large_nn_v0,trt_maxwell_scudnn_128x64_relu_large_nn_v0,trt_maxwell_scudnn_128x32_relu_large_nn_v1,trt_maxwell_scudnn_128x64_relu_large_nn_v1,fft2d_c2r_32x32,trt_maxwell_scudnn_128x32_relu_small_nn_v0,gemv2N_kernel,trt_maxwell_scudnn_128x32_relu_small_nn_v1,trt_maxwell_scudnn_128x64_relu_small_nn_v0,trt_maxwell_scudnn_128x64_relu_small_nn_v1,transpose_readWrite_alignment_kernel,genericReformat::copyPackedKernel,trt_maxwell_scudnn_128x32_relu_interior_nn_v0,trt_maxwell_scudnn_128x32_relu_interior_nn_v1,trt_maxwell_scudnn_128x32_relu_medium_nn_v0,trt_maxwell_scudnn_128x32_relu_medium_nn_v1,DSE::regular_fft_clip,flip_filter,fft2d_c2r_64x64,cudnn::cnn::im2col4d_kernel,explicit_convolve_sgemm,fft2d_r2c_64x64,fft2d_r2c_16x16,fft2d_c2r_16x16,trt_maxwell_scudnn_128x64_sliced1x2_ldg4_relu_exp_small_nhwc_tn_v1,trt_maxwell_scudnn_128x64_sliced1x2_ldg4_relu_exp_interior_nhwc_tn_v1,trt_maxwell_scudnn_128x32_sliced1x4_ldg4_relu_exp_interior_nhwc_tn_v1,trt_maxwell_scudnn_128x32_sliced1x4_ldg4_relu_exp_small_nhwc_tn_v1,maxwell_scudnn_128x32_relu_small_nn_v1,cask_cudnn::computeOffsetsKernel
(1_256_3),0.301750,1.484001,3.165365,3.175739,4.023577,3.583976,3.151419,3.170889,3.854294,3.620247,3.154903,3.254286,3.203660,1.334434,3.131386,3.154408,3.207296,3.293282,3.150363,3.184767,3.346965,3.778693,3.429928,3.228405,2.770454,3.275529,0.622123,3.386241,1.912908,2.792278,3.195279,3.305373,3.849660,3.477552,3.594834,2.796161,3.381094,2.803585,1.135147,,,,,,,,,,,,,
(1_400_6),0.526765,,3.156363,3.168058,4.055804,3.705730,3.145947,3.168865,3.912737,3.644909,3.170871,3.266745,,,3.132885,3.148523,3.197416,3.294158,3.145106,3.169632,3.566627,3.706749,3.424174,3.208488,2.774062,3.288425,1.157424,3.374539,1.922357,2.789727,3.174550,3.305489,,3.516631,3.600377,2.791733,3.372802,2.813365,,,,,,,,,,,,,,
(1_320_6),0.555324,,3.156805,3.179837,4.054454,3.665018,3.141607,3.167518,3.911584,3.636152,3.178475,3.264808,,,3.127991,3.154505,3.208221,3.300395,3.142768,3.171893,3.559534,3.695736,3.397672,3.229078,2.779489,3.277588,1.078679,3.402415,1.921381,2.829361,3.184384,3.307157,,3.511703,3.597437,2.768009,3.386257,2.804292,,,,,,,,,,,,,,
(1_256_6),0.595183,1.621321,3.160706,3.161138,3.980144,3.643509,3.149462,3.161482,3.896020,3.625017,3.174506,3.262353,3.627234,1.364228,3.125739,3.153265,3.217574,3.286206,3.142755,3.174141,3.192501,3.701268,3.409982,3.221314,2.773469,3.278149,1.140006,3.383126,1.920124,2.837831,3.181899,3.295647,3.840694,3.501623,3.569989,2.800336,3.394546,2.802781,1.168131,,,,,,,,,,,,,
(1_128_6),0.607948,1.591429,3.149052,3.151045,3.901055,3.288053,3.134278,3.162258,3.791269,3.638527,3.164199,3.221601,3.650600,0.907818,3.129497,3.156606,3.199296,3.234414,3.132660,3.169564,3.175127,3.660261,3.370328,3.208473,2.711445,3.226470,1.092374,3.352301,1.913592,2.767175,3.180550,3.249121,3.793459,3.453712,3.553893,2.744720,3.351689,2.741949,1.102135,,,,,,,,,,,,,
(1_32_6),0.823792,,2.845643,2.827552,2.473276,0.972456,2.832668,2.845703,2.778159,3.156508,2.568780,2.748835,3.662439,,2.826888,2.854546,2.739094,2.539878,2.814832,2.868057,0.440169,2.827240,2.522924,2.714868,1.819331,2.712563,0.963076,2.511573,1.928307,1.830848,2.690140,2.441356,,2.531238,2.521074,1.832432,2.527545,1.960333,,0.181364,,,,,,,,,,,,
(1_256_9),0.841667,1.695014,3.155065,3.171879,3.630088,3.646135,3.139976,3.170438,3.910088,3.657898,3.164472,3.245414,3.424135,1.374542,3.125687,3.149513,3.209272,3.288413,3.143465,3.182268,3.386076,3.707149,3.416977,3.221277,2.775270,3.267917,1.563095,3.393717,1.921478,2.778108,3.185471,3.303513,3.787611,3.451258,3.576960,2.781980,3.392102,2.785797,1.170220,,,,,,,,,,,,,
(1_64_9),1.061128,,3.068395,3.077832,3.069519,2.687331,3.046599,3.121486,3.531604,3.514810,3.029229,3.064239,3.588194,,3.055278,3.092503,3.050376,3.065842,3.066942,3.110909,1.581817,3.470921,3.166977,3.067111,2.483971,3.047035,1.442171,3.219489,1.917971,2.470533,3.027072,3.055694,3.624788,3.296160,3.270610,2.463825,3.170263,2.490947,,0.200148,1.574769,,,1.179048,,,,,,,,
(1_256_12),1.033486,1.667544,3.161807,3.158051,2.828155,3.584247,3.145710,3.159022,3.914009,,3.153899,3.260738,3.567877,1.394489,3.131216,3.152570,3.210548,3.283609,3.139149,3.177526,3.169124,3.700408,3.417001,3.212279,2.769482,3.272744,1.863488,3.371622,1.920307,2.778194,3.182268,3.297924,3.804073,2.821807,3.587343,2.758865,3.384035,2.794701,1.191662,,,3.702768,3.519714,,,,,,,,2.839431,3.628417
(1_64_12),1.165548,,3.076500,3.075778,2.511525,2.565995,3.039603,3.110133,3.629377,,3.022577,3.056831,3.717140,,3.050061,3.097338,3.041356,2.995913,3.050664,3.100154,3.078159,3.483041,3.095535,3.060408,2.485168,3.039197,1.693690,3.174648,1.821749,2.564340,3.023937,3.042234,3.607520,3.354726,3.280689,2.448203,3.170885,2.486738,,0.283380,1.910918,2.818876,3.297200,1.428365,,,,,,,,
