Configuration,kernel_conv_filter,sgemm_32x32x32_NN_vec,ker2row_kernel,im2col_gpu_kernel,sgemm_32x32x32_NN,maxwell_sgemm_64x64_nn,gemmSN_NN_kernel
(1_256_3),47.48,,3.14,33.71,,,64.82
(1_400_6),40.10,,4.47,33.54,41.85,,
(1_320_6),39.92,,2.17,21.07,41.35,,
(1_256_6),41.96,,4.06,14.43,41.76,,
(1_128_6),41.88,,2.63,10.47,40.46,,
(1_32_6),35.90,,6.62,10.84,47.49,,
(1_256_9),47.23,,7.73,18.29,47.05,,
(1_64_9),45.89,,7.89,15.84,36.34,,
(1_256_12),48.77,,4.38,19.65,42.15,,
(1_64_12),41.38,,5.13,17.49,36.90,,
(3_150_16),35.09,,25.86,27.96,54.87,,
(3_64_16),37.15,,23.17,25.14,49.92,,
(3_32_16),33.68,,22.95,22.94,42.53,,
(6_150_16),35.12,,21.34,25.62,43.42,,
(6_128_16),34.57,,20.28,24.39,44.24,,
(6_70_16),32.23,,28.96,23.24,43.89,,
(6_32_16),33.41,,26.04,25.35,47.13,,
(6_16_16),31.16,,34.24,21.62,37.93,,
(6_8_16),19.65,,33.43,7.10,18.03,,
(6_32_32),34.00,,32.53,46.80,49.97,,
(6_16_32),33.14,,31.68,27.88,51.35,,
(6_8_32),26.08,,30.52,5.63,14.27,,
(16_32_32),31.36,67.47,28.26,50.90,,,
(16_16_32),30.84,50.07,28.50,47.06,,,
(16_8_32),28.60,27.24,27.97,13.48,,,
(16_32_64),31.64,72.10,28.51,55.73,,,
(16_16_64),31.04,,27.56,45.82,,34.59,
(16_8_64),29.07,23.55,28.64,15.19,,,
(32_32_64),29.37,66.25,26.62,63.22,,,
(32_8_64),29.70,30.03,25.25,25.73,,,
