Configuration,kernel_conv_filter,sgemm_32x32x32_NN_vec,ker2row_kernel,im2col_gpu_kernel,sgemm_32x32x32_NN,maxwell_sgemm_64x64_nn,gemmSN_NN_kernel
(1_256_3),3,,1,3,,,3
(1_400_6),3,,1,3,1,,
(1_320_6),3,,1,2,1,,
(1_256_6),3,,1,2,1,,
(1_128_6),3,,1,1,1,,
(1_32_6),3,,1,1,1,,
(1_256_9),3,,1,2,1,,
(1_64_9),3,,1,1,1,,
(1_256_12),4,,1,1,1,,
(1_64_12),3,,1,1,1,,
(3_150_16),4,,2,2,2,,
(3_64_16),4,,2,1,1,,
(3_32_16),4,,2,1,1,,
(6_150_16),5,,2,2,2,,
(6_128_16),5,,2,1,2,,
(6_70_16),4,,2,1,2,,
(6_32_16),4,,2,1,2,,
(6_16_16),4,,3,1,2,,
(6_8_16),2,,2,1,1,,
(6_32_32),4,,3,2,2,,
(6_16_32),4,,3,2,1,,
(6_8_32),2,,3,1,1,,
(16_32_32),5,3,3,3,,,
(16_16_32),4,2,3,2,,,
(16_8_32),2,1,3,1,,,
(16_32_64),5,3,3,3,,,
(16_16_64),4,,3,2,,1,
(16_8_64),2,1,4,1,,,
(32_32_64),5,3,3,3,,,
(32_8_64),3,1,3,2,,,
