Configuration,kernel_conv_filter,sgemm_32x32x32_NN_vec,ker2row_kernel,im2col_gpu_kernel,sgemm_32x32x32_NN,maxwell_sgemm_64x64_nn,gemmSN_NN_kernel
(1_256_3),51.92,,0.00,0.00,,,26.97
(1_400_6),51.30,,0.00,0.00,76.47,,
(1_320_6),51.30,,0.00,0.00,76.47,,
(1_256_6),51.30,,0.00,0.00,76.47,,
(1_128_6),51.30,,0.00,0.00,76.47,,
(1_32_6),51.30,,0.00,0.00,76.47,,
(1_256_9),50.79,,0.00,0.00,76.47,,
(1_64_9),50.79,,0.00,0.00,76.47,,
(1_256_12),50.66,,0.00,0.00,76.47,,
(1_64_12),50.66,,0.00,0.00,76.47,,
(3_150_16),49.17,,0.00,0.00,73.42,,
(3_64_16),50.50,,0.00,0.00,73.42,,
(3_32_16),50.50,,0.00,0.00,73.42,,
(6_150_16),49.17,,0.00,0.00,71.81,,
(6_128_16),50.50,,0.00,0.00,71.81,,
(6_70_16),47.63,,0.00,0.00,71.81,,
(6_32_16),50.50,,0.00,0.00,71.81,,
(6_16_16),50.50,,0.00,0.00,71.81,,
(6_8_16),50.50,,0.00,0.00,71.81,,
(6_32_32),50.25,,0.00,0.00,71.81,,
(6_16_32),50.25,,0.00,0.00,71.81,,
(6_8_32),50.25,,0.00,0.00,71.81,,
(16_32_32),50.25,68.82,0.00,0.00,,,
(16_16_32),50.25,68.80,0.00,0.00,,,
(16_8_32),50.25,68.67,0.00,0.00,,,
(16_32_64),50.12,68.82,0.00,0.00,,,
(16_16_64),50.12,,0.00,0.00,,50.44,
(16_8_64),50.12,68.67,0.00,0.00,,,
(32_32_64),50.12,68.18,0.00,0.00,,,
(32_8_64),50.12,68.01,0.00,0.00,,,
