Configuration,kernel_conv_filter,sgemm_32x32x32_NN_vec,ker2row_kernel,im2col_gpu_kernel,sgemm_32x32x32_NN,maxwell_sgemm_64x64_nn,gemmSN_NN_kernel
(1_256_3),3,,0,0,,,4
(1_400_6),3,,0,0,5,,
(1_320_6),3,,0,0,5,,
(1_256_6),3,,0,0,5,,
(1_128_6),3,,0,0,5,,
(1_32_6),2,,0,0,6,,
(1_256_9),3,,0,0,6,,
(1_64_9),3,,0,0,5,,
(1_256_12),3,,0,0,6,,
(1_64_12),3,,0,0,5,,
(3_150_16),4,,0,0,6,,
(3_64_16),4,,0,0,5,,
(3_32_16),3,,0,0,4,,
(6_150_16),4,,0,0,4,,
(6_128_16),4,,0,0,4,,
(6_70_16),4,,0,0,4,,
(6_32_16),4,,0,0,4,,
(6_16_16),3,,0,0,4,,
(6_8_16),2,,0,0,2,,
(6_32_32),4,,0,0,5,,
(6_16_32),4,,0,0,3,,
(6_8_32),2,,0,0,1,,
(16_32_32),5,6,0,0,,,
(16_16_32),4,4,0,0,,,
(16_8_32),2,1,0,0,,,
(16_32_64),5,6,0,0,,,
(16_16_64),4,,0,0,,3,
(16_8_64),3,3,0,0,,,
(32_32_64),5,6,0,0,,,
(32_8_64),3,2,0,0,,,
