Configuration,kernel_conv_filter,sgemm_32x32x32_NN_vec,ker2row_kernel,im2col_gpu_kernel,sgemm_32x32x32_NN,maxwell_sgemm_64x64_nn,gemmSN_NN_kernel
(1_256_3),99.60,,43.19,99.65,,,99.44
(1_400_6),99.90,,50.59,99.79,99.96,,
(1_320_6),99.79,,67.70,99.54,99.93,,
(1_256_6),99.76,,52.65,99.58,99.88,,
(1_128_6),99.00,,63.37,49.83,99.61,,
(1_32_6),84.68,,41.02,47.99,89.04,,
(1_256_9),99.81,,46.10,99.81,99.85,,
(1_64_9),97.29,,44.92,49.36,98.54,,
(1_256_12),99.86,,67.83,49.95,99.85,,
(1_64_12),97.25,,64.19,49.25,98.52,,
(3_150_16),99.68,,54.48,49.93,99.72,,
(3_64_16),97.91,,55.86,49.63,98.01,,
(3_32_16),94.26,,57.05,48.48,92.89,,
(6_150_16),99.90,,69.81,49.97,99.88,,
(6_128_16),99.78,,71.12,49.95,99.71,,
(6_70_16),99.61,,62.83,49.82,98.92,,
(6_32_16),95.55,,65.72,49.15,94.99,,
(6_16_16),80.77,,58.51,46.34,87.20,,
(6_8_16),38.64,,59.41,40.85,43.66,,
(6_32_32),96.80,,75.95,48.41,94.16,,
(6_16_32),86.11,,74.22,45.29,78.41,,
(6_8_32),41.77,,77.17,42.86,44.84,,
(16_32_32),97.73,94.12,89.64,49.33,,,
(16_16_32),88.41,90.23,88.96,46.86,,,
(16_8_32),45.81,45.45,89.45,42.60,,,
(16_32_64),97.69,98.88,94.60,49.27,,,
(16_16_64),89.43,,94.46,46.93,,97.35,
(16_8_64),47.77,91.95,94.31,42.32,,,
(32_32_64),98.09,99.31,96.97,49.59,,,
(32_8_64),48.79,93.74,97.01,43.18,,,
