Configuration,kernel_conv_filter,sgemm_32x32x32_NN_vec,ker2row_kernel,im2col_gpu_kernel,sgemm_32x32x32_NN,maxwell_sgemm_64x64_nn,gemmSN_NN_kernel
(1_256_3),44.42,,31.88,46.86,,,51.57
(1_400_6),45.31,,11.87,47.91,76.50,,
(1_320_6),45.31,,11.87,47.90,76.49,,
(1_256_6),45.31,,11.15,47.86,76.48,,
(1_128_6),45.33,,11.87,47.68,76.49,,
(1_32_6),45.46,,10.79,46.66,76.24,,
(1_256_9),45.63,,7.07,47.86,76.64,,
(1_64_9),45.67,,7.07,59.16,76.51,,
(1_256_12),45.79,,8.67,46.27,77.09,,
(1_64_12),45.82,,8.67,44.63,77.00,,
(3_150_16),47.98,,0.33,45.76,77.85,,
(3_64_16),48.28,,0.33,47.72,77.13,,
(3_32_16),48.32,,0.33,46.52,77.06,,
(6_150_16),48.73,,0.10,45.76,77.33,,
(6_128_16),48.89,,50.02,48.18,76.15,,
(6_70_16),48.75,,0.10,45.43,77.52,,
(6_32_16),48.94,,0.10,46.55,77.03,,
(6_16_16),49.03,,0.10,43.77,78.00,,
(6_8_16),50.00,,0.10,25.00,77.30,,
(6_32_32),49.14,,0.00,69.74,77.20,,
(6_16_32),49.19,,0.00,66.67,78.78,,
(6_8_32),50.00,,0.00,25.00,77.77,,
(16_32_32),49.54,7.18,0.00,63.41,,,
(16_16_32),49.59,14.19,0.00,43.94,,,
(16_8_32),50.00,2.53,0.00,25.00,,,
(16_32_64),49.65,5.65,0.00,46.71,,,
(16_16_64),49.67,,0.00,43.94,,49.99,
(16_8_64),50.00,2.53,0.00,25.00,,,
(32_32_64),49.77,4.82,0.00,46.71,,,
(32_8_64),50.00,1.30,0.00,25.00,,,
