Configuration,kernel_conv_filter,sgemm_32x32x32_NN_vec,ker2row_kernel,im2col_gpu_kernel,sgemm_32x32x32_NN,maxwell_sgemm_64x64_nn,gemmSN_NN_kernel
(1_256_3),5,,1,1,,,2
(1_400_6),5,,1,2,1,,
(1_320_6),5,,1,1,1,,
(1_256_6),5,,1,1,1,,
(1_128_6),5,,1,1,1,,
(1_32_6),3,,1,1,1,,
(1_256_9),5,,1,1,1,,
(1_64_9),5,,1,1,1,,
(1_256_12),6,,1,1,1,,
(1_64_12),6,,1,1,1,,
(3_150_16),7,,1,1,2,,
(3_64_16),7,,1,1,1,,
(3_32_16),7,,1,1,1,,
(6_150_16),9,,1,1,2,,
(6_128_16),8,,1,1,2,,
(6_70_16),8,,1,1,2,,
(6_32_16),8,,1,1,2,,
(6_16_16),6,,1,1,1,,
(6_8_16),2,,1,1,1,,
(6_32_32),8,,1,1,2,,
(6_16_32),7,,1,1,2,,
(6_8_32),3,,1,1,1,,
(16_32_32),9,3,1,1,,,
(16_16_32),7,3,1,1,,,
(16_8_32),4,1,1,1,,,
(16_32_64),9,3,1,1,,,
(16_16_64),8,,1,1,,1,
(16_8_64),4,1,1,1,,,
(32_32_64),9,3,1,2,,,
(32_8_64),5,1,1,1,,,
