==22551== NVPROF is profiling process 22551, command: ./mbnet
==22551== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==22551== Profiling application: ./mbnet
==22551== Profiling result:
==22551== Metric result:
Invocations                               Metric Name                                    Metric Description         Min         Max         Avg
Device "NVIDIA GeForce GTX 1050 (0)"
    Kernel: convolution_naive(float[150][150]*, float[5][5][6]*, float[146][146]*)
          1                             inst_per_warp                                 Instructions per warp  693.000000  693.000000  693.000000
          1                         branch_efficiency                                     Branch Efficiency     100.00%     100.00%     100.00%
          1                 warp_execution_efficiency                             Warp Execution Efficiency     100.00%     100.00%     100.00%
          1         warp_nonpred_execution_efficiency              Warp Non-Predicated Execution Efficiency      99.86%      99.86%      99.86%
          1                      inst_replay_overhead                           Instruction Replay Overhead    0.000209    0.000209    0.000209
          1      shared_load_transactions_per_request           Shared Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          1     shared_store_transactions_per_request          Shared Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          1       local_load_transactions_per_request            Local Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          1      local_store_transactions_per_request           Local Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          1              gld_transactions_per_request                  Global Load Transactions Per Request   18.000000   18.000000   18.000000
          1              gst_transactions_per_request                 Global Store Transactions Per Request   32.000000   32.000000   32.000000
          1                 shared_store_transactions                             Shared Store Transactions           0           0           0
          1                  shared_load_transactions                              Shared Load Transactions           0           0           0
          1                   local_load_transactions                               Local Load Transactions           0           0           0
          1                  local_store_transactions                              Local Store Transactions           0           0           0
          1                          gld_transactions                              Global Load Transactions    57553200    57553200    57553200
          1                          gst_transactions                             Global Store Transactions      341056      341056      341056
          1                  sysmem_read_transactions                       System Memory Read Transactions           0           0           0
          1                 sysmem_write_transactions                      System Memory Write Transactions           7           7           7
          1                      l2_read_transactions                                  L2 Read Transactions    28779718    28779718    28779718
          1                     l2_write_transactions                                 L2 Write Transactions      341089      341089      341089
          1                           global_hit_rate                     Global Hit Rate in unified l1/tex      50.00%      50.00%      50.00%
          1                            local_hit_rate                                        Local Hit Rate       0.00%       0.00%       0.00%
          1                  gld_requested_throughput                      Requested Global Load Throughput  21.186GB/s  21.186GB/s  21.186GB/s
          1                  gst_requested_throughput                     Requested Global Store Throughput  257.11MB/s  257.11MB/s  257.11MB/s
          1                            gld_throughput                                Global Load Throughput  169.48GB/s  169.48GB/s  169.48GB/s
          1                            gst_throughput                               Global Store Throughput  2.0087GB/s  2.0087GB/s  2.0087GB/s
          1                     local_memory_overhead                                 Local Memory Overhead       0.00%       0.00%       0.00%
          1                        tex_cache_hit_rate                                Unified Cache Hit Rate      49.71%      49.71%      49.71%
          1                      l2_tex_read_hit_rate                           L2 Hit Rate (Texture Reads)      99.93%      99.93%      99.93%
          1                     l2_tex_write_hit_rate                          L2 Hit Rate (Texture Writes)      56.62%      56.62%      56.62%
          1                      tex_cache_throughput                              Unified Cache Throughput  75.326GB/s  75.326GB/s  75.326GB/s
          1                    l2_tex_read_throughput                         L2 Throughput (Texture Reads)  169.48GB/s  169.48GB/s  169.48GB/s
          1                   l2_tex_write_throughput                        L2 Throughput (Texture Writes)  2.0087GB/s  2.0087GB/s  2.0087GB/s
          1                        l2_read_throughput                                 L2 Throughput (Reads)  169.50GB/s  169.50GB/s  169.50GB/s
          1                       l2_write_throughput                                L2 Throughput (Writes)  2.0089GB/s  2.0089GB/s  2.0089GB/s
          1                    sysmem_read_throughput                         System Memory Read Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                   sysmem_write_throughput                        System Memory Write Throughput  43.229KB/s  43.229KB/s  43.229KB/s
          1                     local_load_throughput                          Local Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                    local_store_throughput                         Local Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                    shared_load_throughput                         Shared Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                   shared_store_throughput                        Shared Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                            gld_efficiency                         Global Memory Load Efficiency      12.50%      12.50%      12.50%
          1                            gst_efficiency                        Global Memory Store Efficiency      12.50%      12.50%      12.50%
          1                    tex_cache_transactions                            Unified Cache Transactions    12789600    12789600    12789600
          1                             flop_count_dp           Floating Point Operations(Double Precision)           0           0           0
          1                         flop_count_dp_add       Floating Point Operations(Double Precision Add)           0           0           0
          1                         flop_count_dp_fma       Floating Point Operations(Double Precision FMA)           0           0           0
          1                         flop_count_dp_mul       Floating Point Operations(Double Precision Mul)           0           0           0
