Configuration,kernel_conv_filter,sgemm_32x32x32_NN_vec,ker2row_kernel,im2col_gpu_kernel,sgemm_32x32x32_NN,maxwell_sgemm_64x64_nn,gemmSN_NN_kernel
(1_256_3),76.21,,78.16,78.13,,,97.90
(1_400_6),98.08,,78.14,93.74,100.00,,
(1_320_6),98.08,,78.15,93.74,100.00,,
(1_256_6),97.43,,78.14,93.74,100.00,,
(1_128_6),97.43,,78.14,93.66,100.00,,
(1_32_6),97.43,,78.10,90.75,100.00,,
(1_256_9),89.15,,78.12,87.89,100.00,,
(1_64_9),89.15,,78.12,87.89,100.00,,
(1_256_12),97.43,,78.12,93.74,100.00,,
(1_64_12),97.43,,78.12,93.75,100.00,,
(3_150_16),97.18,,78.12,96.17,100.00,,
(3_64_16),99.39,,78.12,96.15,100.00,,
(3_32_16),99.39,,78.12,96.71,100.00,,
(6_150_16),97.25,,93.75,96.15,100.00,,
(6_128_16),99.65,,93.75,96.16,100.00,,
(6_70_16),94.46,,93.75,96.09,100.00,,
(6_32_16),99.65,,93.75,96.08,100.00,,
(6_16_16),99.65,,93.75,96.43,100.00,,
(6_8_16),99.78,,93.75,99.76,100.00,,
(6_32_32),100.00,,93.75,100.00,100.00,,
(6_16_32),100.00,,93.75,100.00,100.00,,
(6_8_32),100.00,,93.75,100.00,100.00,,
(16_32_32),100.00,100.00,96.15,100.00,,,
(16_16_32),100.00,100.00,96.15,100.00,,,
(16_8_32),100.00,100.00,96.15,100.00,,,
(16_32_64),100.00,100.00,96.15,100.00,,,
(16_16_64),100.00,,96.15,100.00,,100.00,
(16_8_64),100.00,100.00,96.15,100.00,,,
(32_32_64),100.00,100.00,100.00,100.00,,,
(32_8_64),100.00,100.00,100.00,100.00,,,
