Time(%),Time(ms),IF_N,INPUT_S,OF_N
72.99,2.9514,1,400,6
76.43,1.8813,1,320,6
88.63,0.6383,1,256,3
88.25,1.1929,1,256,6
79.99,2.2342,1,256,9
81.96,2.8073,1,256,12
88.37,0.2926,1,128,6
89.07,0.128,1,64,9
89.78,0.1627,1,64,12
85.49,0.0398,3,32,6
96.58,3.6245,3,150,16
95.60,0.6163,3,64,16
95.66,0.2591,6,32,16
97.24,6.2464,6,150,16
97.67,4.5538,6,128,16
97.44,1.3944,6,70,16
95.66,0.2591,6,32,16
98.16,0.8766,6,32,32
81.58,0.0567,6,16,16
95.82,0.1821,6,16,32
64.06,0.0095,6,8,16
84.27,0.0519,16,8,32
99.00,2.3108,16,32,32
98.93,4.2256,16,32,64
94.88,0.4465,16,16,32
97.84,0.8096,16,16,64
84.27,0.0519,16,8,32
90.22,0.1959,32,8,64
99.47,8.9244,32,32,64
