Time(%),Time(ms),IF_N,INPUT_S,OF_N
72.99,2.9428,1,400,6
76.34,1.8770,1,320,6
88.43,0.6376,1,256,3
89.37,1.1980,1,256,6
79.21,2.2344,1,256,9
81.95,2.8132,1,256,12
87.94,0.2928,1,128,6
88.95,0.1283,1,64,9
89.55,0.1615,1,64,12
84.43,0.0385,3,32,6
96.51,3.6257,3,150,16
95.81,0.6162,3,64,16
95.67,0.2617,6,32,16
97.33,6.2376,6,150,16
97.39,4.5637,6,128,16
97.42,1.3933,6,70,16
95.67,0.2617,6,32,16
98.15,0.8833,6,32,32
89.97,0.0566,6,16,16
96.02,0.1816,6,16,32
64.09,0.0095,6,8,16
84.23,0.0518,16,8,32
98.97,2.3319,16,32,32
99.16,4.2185,16,32,64
97.20,0.4466,16,16,32
97.86,0.8223,16,16,64
84.23,0.0518,16,8,32
90.29,0.1984,32,8,64
99.47,8.9719,32,32,64
