Configuration,convolution,HtoD,DtoH,Total_time,Kernel_time
(1_256_3),0.2624,0.0238,0.0596,0.346,0.263
(1_400_6),1.3411,0.0525,1.0457,2.439,1.341
(1_320_6),0.86,0.035,0.5766,1.472,0.860
(1_256_6),0.547,0.0421,0.1187,0.708,0.547
(1_128_6),0.1302,0.0094,0.0298,0.169,0.130
(1_32_6),0.0088,0.0027,0.0032,0.015,0.009
(1_256_9),0.8144,0.0238,0.6165,1.455,0.815
(1_64_9),0.0483,0.0043,0.0116,0.064,0.048
(1_256_12),1.0921,0.024,0.6515,1.768,1.093
(1_64_12),0.0631,0.0043,0.0157,0.083,0.063
(3_150_16),3.3589,0.0245,0.1066,3.490,3.359
(3_64_16),0.5497,0.0077,0.0193,0.577,0.550
(3_32_16),0.1193,0.0038,0.0056,0.129,0.120
(6_150_16),9.6907,0.046,0.1239,9.861,9.691
(6_128_16),6.6267,0.0348,0.0766,6.738,6.627
(6_70_16),2.0077,0.014,0.0227,2.044,2.007
(6_32_16),0.3603,0.0062,0.0056,0.372,0.360
(6_16_16),0.0634,0.0038,0.0025,0.070,0.064
(6_8_16),0.0095,0.0038,0.0015,0.015,0.010
(6_32_32),0.6947,0.0072,0.0094,0.711,0.694
(6_16_32),0.1182,0.0048,0.0032,0.126,0.118
(6_8_32),0.0153,0.0048,0.000896,0.021,0.015
(16_32_32),4.5229,0.0149,0.0094,4.547,4.523
(16_16_32),0.8214,0.0098,0.0031,0.834,0.821
(16_8_32),0.0857,0.0082,0.0016,0.096,0.086
(16_32_64),9.0272,0.0181,0.0171,9.062,9.027
(16_16_64),1.6180,0.0133,0.0045,1.636,1.618
(16_8_64),0.1734,0.0119,0.0017,0.187,0.173
