Configuration,fused::fusedConvolutionReluKernel,gemv2N_kernel,gemv2T_kernel_val,trt_maxwell_scudnn_128x128_relu_medium_nn_v0,trt_maxwell_scudnn_128x128_relu_large_nn_v0,trt_maxwell_scudnn_128x128_relu_small_nn_v0,trt_maxwell_scudnn_128x128_relu_large_nn_v1,trt_maxwell_scudnn_128x128_relu_interior_nn_v0,trt_maxwell_scudnn_128x128_relu_medium_nn_v1,trt_maxwell_scudnn_128x128_relu_small_nn_v1,trt_maxwell_scudnn_128x128_relu_interior_nn_v1,implicit_convolve_sgemm,CUTENSOR_NAMESPACE::permutationKernelPLC3,trt_maxwell_scudnn_128x64_relu_large_nn_v1,trt_maxwell_scudnn_128x64_relu_medium_nn_v1,cudnn::cnn::conv2d_grouped_direct_kernel,trt_maxwell_scudnn_128x64_relu_small_nn_v1,trt_maxwell_scudnn_128x64_relu_interior_nn_v1,trt_maxwell_scudnn_128x64_relu_large_nn_v0,trt_maxwell_scudnn_128x64_relu_medium_nn_v0,trt_maxwell_scudnn_128x64_relu_small_nn_v0,trt_maxwell_scudnn_128x64_relu_interior_nn_v0,op_generic_tensor_kernel,memset,trt_maxwell_scudnn_128x32_relu_large_nn_v1,fft2d_c2r_32x32,trt_maxwell_scudnn_128x32_relu_medium_nn_v1,trt_maxwell_scudnn_128x32_relu_small_nn_v1,transpose_readWrite_alignment_kernel,fft2d_r2c_32x32,trt_maxwell_scudnn_128x32_relu_interior_nn_v1,trt_maxwell_scudnn_128x32_relu_large_nn_v0,trt_maxwell_scudnn_128x32_relu_medium_nn_v0,trt_maxwell_scudnn_128x32_relu_small_nn_v0,trt_maxwell_scudnn_128x32_relu_interior_nn_v0,DSE::regular_fft_clip,DtoD],genericReformat::copyPackedKernel,cask_trt::computeOffsetsKernel,DSE::regular_fft_pad,DSE::vector_fft,HtoD,DtoH,explicit_convolve_sgemm,fft2d_r2c_64x64,fft2d_c2r_64x64,cudnn::cnn::im2col4d_kernel,flip_filter,fft2d_r2c_16x16,fft2d_c2r_16x16,trt_maxwell_scudnn_128x32_sliced1x4_ldg4_relu_exp_small_nhwc_tn_v1,trt_maxwell_scudnn_128x32_sliced1x4_ldg4_relu_exp_interior_nhwc_tn_v1,trt_maxwell_scudnn_128x64_sliced1x2_ldg4_relu_exp_small_nhwc_tn_v1,trt_maxwell_scudnn_128x64_sliced1x2_ldg4_relu_exp_interior_nhwc_tn_v1,maxwell_scudnn_128x32_relu_small_nn_v1,cask_cudnn::computeOffsetsKernel,Total_time,Kernel_time
(1_256_3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000
(1_400_6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000
(1_320_6),93.52699999999999,69.217,,10.637,10.668,10.547,10.353,10.351,10.272,10.208,10.079,11.16,8.3232,5.2579,5.1957,7.4091,5.0919,5.082,5.1483,5.1286,5.0634,4.9364,4.5549,5.3378,3.533,3.7417,3.4543,3.3474,,3.7152,3.2631,3.094,3.0748,3.0261,8926.04,,2.3356,1.7497,1.212,,,0.1455,1.3323,,,,,,,,,,,,,,9286.613,9277.461
(1_256_6),85.3402,46.866,19.241,8.8796,10.396,8.7937,8.6588,8.6251,8.5776,8.4988,8.3945,7.9057,7.0874,4.4625,4.3486,5.2721,4.2536,4.2351,4.2415,4.2423,4.1843,4.0732,3.9969,4.1882,2.9479,2.785,3.3491,2.7604,3.1906,2.7298,2.6758,2.9579,2.529,6430.49,2.5747,1.488,1.7446,1.7769,1.0394,0.8295,0.8991,0.1377,0.1463,,,,,,,,,,,,,,6751.814,6745.597
(1_128_6),2618.9053,22.99,7.8451,4.3916,4.3758,4.3473,4.2941,4.2644,4.2368,4.1965,4.1607,3.3562,3.3891999999999998,2.1999,2.1857,2.1845,2.1311,2.1084,2.0983,2.0912,2.0616,2.0045,1.938,1.5817,1.4639,1.422,1.4169,1.3874,1.3702,1.4444,1.3568,1.2469,1.2434,1.2139,1.0807,0.795,0.6602,0.7519,0.5381,0.521,0.4949,0.1447,0.0807,,,,,,,,,,,,,,2731.971,2729.503
(1_32_6),295.0071,1.2055,0.6599,0.5433,0.5428,0.5368,0.5279,0.5295,0.5346,0.5176,0.5082,0.3768,0.498,0.2958,0.2921,0.2589,0.289,0.2812,0.2727,0.2732,0.2676,0.2611,0.7276,0.3287,0.2407,0.1894,0.2389,0.2245,,0.31820000000000004,0.2236,0.1842,0.1827,0.1805,0.1752,,0.1973,0.10389999999999999,0.1804,,,0.167,0.0619,,,,,0.0153,,,,,,,,,308.420,307.665
(1_256_9),60.6666,49.026,41.655,8.8996,8.8805,8.7973,8.6577,8.6315,8.5835,8.5031,8.3865,9.2026,7.375,4.394,4.3499,9.1079,4.2681,4.2363,4.2538,4.2516,4.1854,4.0831,6.6515,5.0298,2.9421,2.9634,2.8946,2.7531,3.5529,2.8912,2.7022,2.5499,2.5379,2.4898,5733.49,2.3016,1.6854,2.6014,1.016,1.2712,1.2464,0.1327,1.1849,,,,,,,,,,,,,,6065.283,6057.250
(1_64_9),7.6733,10.913,4.8464,1.4661,1.4701,1.4491,1.4282,1.4358,1.4282,1.4028,1.3893,1.3176,1.1784,1.0224,1.0018,1.0492,0.9774,0.9669,0.9434,0.9426,0.9338,0.9095,1.3211,0.8583,0.6976,0.6868,0.667,0.6391,0.4991,0.7195,0.6413,0.5644,0.5626,0.5468,760.72,,0.334,0.3679,0.2405,,,0.1578,0.0755,,0.3735,0.258,,0.0164,,,,,,,,,817.092,815.666
(1_256_12),127.4555,38.949,31.956,7.3801,7.1648,7.0948,6.9704,6.9649,6.9025,6.8558,6.7786,3.2847,5.6033,3.5429,3.5038,,3.4366,3.4242,3.4594,3.4462,3.4031,3.3189,6.5776,6.4398,2.3781,2.8391,2.333,2.2527,2.8201,2.3773,2.1657,2.0856,2.0764,2.0491,5559.42,2.3735,1.5399,3.5363,0.8202,1.1587,1.3557000000000001,0.1334,1.3699,7.8658,,,1.1689,,,,,,,,2.656,0.1167,5910.805,5901.322
(1_64_12),1332.7618999999997,10.747,5.0168,1.4704,1.4669,1.4516,1.4391,1.4286,1.4227,1.4065,1.3925,1.3191,1.1829999999999998,1.0167,1.0029,,0.9834,0.9682,0.9434,0.9421,0.9303,0.9137,1.5694,1.0518,0.6896,0.7374,0.6699,0.6456,0.4985,0.7411,0.6225,0.5665,0.5695,0.5461,0.5054,,0.314,0.45089999999999997,0.2286,,,0.1689,0.0768,1.3409,0.4169,0.287,0.2371,0.017,,,,,,,,,1383.158,1381.546
