Time(%),Time(ms),IF_N,INPUT_S,OF_N
54.64,1.3421,1,400,6
59.70,0.8591,1,320,6
70.65,0.2632,1,256,3
74.74,0.5468,1,256,6
59.88,0.8166,1,256,9
64.38,1.0920,1,256,12
77.09,0.1294,1,128,6
75.20,0.0476,1,64,9
76.86,0.0626,1,64,12
87.00,0.0469,3,32,6
96.24,3.2839,3,150,16
93.49,0.539,3,64,16
95.69,0.357,6,32,16
98.47,9.6733,6,150,16
98.37,6.6215,6,128,16
98.21,2.0015,6,70,16
95.69,0.357,6,32,16
97.75,0.6853,6,32,32
90.82,0.0621,6,16,16
93.48,0.1143,6,16,32
62.81,0.009,6,8,16
89.52,0.0833,16,8,32
99.44,4.2007,16,32,32
99.56,7.9989,16,32,64
98.24,0.7186,16,16,32
98.74,1.4074,16,16,64
89.52,0.0833,16,8,32
