==20768== NVPROF is profiling process 20768, command: ./mbnet
==20768== Warning: Unified Memory Profiling is not supported on the underlying platform. System requirements for unified memory can be found at: http://docs.nvidia.com/cuda/cuda-c-programming-guide/index.html#um-requirements
==20768== Profiling application: ./mbnet
==20768== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
425.94ms  26.401us                    -               -         -         -         -  400.00KB  14.449GB/s    Pageable      Device  NVIDIA Tegra X2         1         7  [CUDA memcpy HtoD]
426.10ms     320ns                    -               -         -         -         -      600B  1.7462GB/s    Pageable      Device  NVIDIA Tegra X2         1         7  [CUDA memcpy HtoD]
426.18ms  952.53us           (6241 1 1)       (150 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[320][320]*, float[316][316]*, float[5][5][1]*) [111]
427.13ms  949.30us           (6241 1 1)       (150 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[320][320]*, float[316][316]*, float[5][5][1]*) [112]
428.08ms  948.66us           (6241 1 1)       (150 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[320][320]*, float[316][316]*, float[5][5][1]*) [113]
429.03ms  950.58us           (6241 1 1)       (150 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[320][320]*, float[316][316]*, float[5][5][1]*) [114]
429.98ms  948.82us           (6241 1 1)       (150 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[320][320]*, float[316][316]*, float[5][5][1]*) [115]
430.93ms  949.30us           (6241 1 1)       (150 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[320][320]*, float[316][316]*, float[5][5][1]*) [116]
431.88ms  950.58us           (6241 1 1)       (150 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[320][320]*, float[316][316]*, float[5][5][1]*) [117]
432.83ms  949.62us           (6241 1 1)       (150 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[320][320]*, float[316][316]*, float[5][5][1]*) [118]
433.79ms  951.06us           (6241 1 1)       (150 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[320][320]*, float[316][316]*, float[5][5][1]*) [119]
434.74ms  951.22us           (6241 1 1)       (150 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[320][320]*, float[316][316]*, float[5][5][1]*) [120]
435.69ms  952.66us           (6241 1 1)       (150 1 1)        32      256B        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[320][320]*, float[316][316]*, float[5][5][1]*) [121]
