==22022== NVPROF is profiling process 22022, command: ./mbnet
==22022== Warning: Unified Memory Profiling is not supported on the underlying platform. System requirements for unified memory can be found at: http://docs.nvidia.com/cuda/cuda-c-programming-guide/index.html#um-requirements
==22022== Profiling application: ./mbnet
==22022== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
431.65ms  10.144us                    -               -         -         -         -  128.00KB  12.034GB/s    Pageable      Device  NVIDIA Tegra X2         1         7  [CUDA memcpy HtoD]
431.86ms  12.640us                    -               -         -         -         -  200.00KB  15.090GB/s    Pageable      Device  NVIDIA Tegra X2         1         7  [CUDA memcpy HtoD]
432.22ms  1.3725ms             (49 1 1)      (1024 1 1)        32  8.0000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[32][32]*, float[28][28]*, float[5][5][32]*) [111]
433.60ms  1.3674ms             (49 1 1)      (1024 1 1)        32  8.0000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[32][32]*, float[28][28]*, float[5][5][32]*) [112]
434.97ms  1.3739ms             (49 1 1)      (1024 1 1)        32  8.0000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[32][32]*, float[28][28]*, float[5][5][32]*) [113]
436.34ms  1.3665ms             (49 1 1)      (1024 1 1)        32  8.0000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[32][32]*, float[28][28]*, float[5][5][32]*) [114]
437.71ms  1.3763ms             (49 1 1)      (1024 1 1)        32  8.0000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[32][32]*, float[28][28]*, float[5][5][32]*) [115]
439.09ms  1.3750ms             (49 1 1)      (1024 1 1)        32  8.0000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[32][32]*, float[28][28]*, float[5][5][32]*) [116]
440.46ms  1.3768ms             (49 1 1)      (1024 1 1)        32  8.0000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[32][32]*, float[28][28]*, float[5][5][32]*) [117]
441.84ms  1.3633ms             (49 1 1)      (1024 1 1)        32  8.0000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[32][32]*, float[28][28]*, float[5][5][32]*) [118]
443.20ms  1.3673ms             (49 1 1)      (1024 1 1)        32  8.0000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[32][32]*, float[28][28]*, float[5][5][32]*) [119]
444.57ms  1.3727ms             (49 1 1)      (1024 1 1)        32  8.0000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[32][32]*, float[28][28]*, float[5][5][32]*) [120]
445.95ms  1.3623ms             (49 1 1)      (1024 1 1)        32  8.0000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[32][32]*, float[28][28]*, float[5][5][32]*) [121]
447.31ms  1.3729ms             (49 1 1)      (1024 1 1)        32  8.0000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[32][32]*, float[28][28]*, float[5][5][32]*) [122]
448.68ms  1.3668ms             (49 1 1)      (1024 1 1)        32  8.0000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[32][32]*, float[28][28]*, float[5][5][32]*) [123]
450.05ms  1.3719ms             (49 1 1)      (1024 1 1)        32  8.0000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[32][32]*, float[28][28]*, float[5][5][32]*) [124]
451.42ms  1.3731ms             (49 1 1)      (1024 1 1)        32  8.0000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[32][32]*, float[28][28]*, float[5][5][32]*) [125]
452.80ms  1.3742ms             (49 1 1)      (1024 1 1)        32  8.0000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[32][32]*, float[28][28]*, float[5][5][32]*) [126]
454.17ms  1.3716ms             (49 1 1)      (1024 1 1)        32  8.0000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[32][32]*, float[28][28]*, float[5][5][32]*) [127]
455.55ms  1.3739ms             (49 1 1)      (1024 1 1)        32  8.0000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[32][32]*, float[28][28]*, float[5][5][32]*) [128]
456.92ms  1.3575ms             (49 1 1)      (1024 1 1)        32  8.0000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[32][32]*, float[28][28]*, float[5][5][32]*) [129]
458.28ms  1.3759ms             (49 1 1)      (1024 1 1)        32  8.0000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[32][32]*, float[28][28]*, float[5][5][32]*) [130]
459.66ms  1.3520ms             (49 1 1)      (1024 1 1)        32  8.0000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[32][32]*, float[28][28]*, float[5][5][32]*) [131]
461.01ms  1.3711ms             (49 1 1)      (1024 1 1)        32  8.0000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[32][32]*, float[28][28]*, float[5][5][32]*) [132]
462.38ms  1.3743ms             (49 1 1)      (1024 1 1)        32  8.0000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[32][32]*, float[28][28]*, float[5][5][32]*) [133]
463.76ms  1.3649ms             (49 1 1)      (1024 1 1)        32  8.0000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[32][32]*, float[28][28]*, float[5][5][32]*) [134]
465.12ms  1.3727ms             (49 1 1)      (1024 1 1)        32  8.0000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[32][32]*, float[28][28]*, float[5][5][32]*) [135]
466.50ms  1.3627ms             (49 1 1)      (1024 1 1)        32  8.0000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[32][32]*, float[28][28]*, float[5][5][32]*) [136]
467.86ms  1.3745ms             (49 1 1)      (1024 1 1)        32  8.0000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[32][32]*, float[28][28]*, float[5][5][32]*) [137]
469.24ms  1.3617ms             (49 1 1)      (1024 1 1)        32  8.0000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[32][32]*, float[28][28]*, float[5][5][32]*) [138]
470.60ms  1.3737ms             (49 1 1)      (1024 1 1)        32  8.0000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[32][32]*, float[28][28]*, float[5][5][32]*) [139]
471.97ms  1.3737ms             (49 1 1)      (1024 1 1)        32  8.0000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[32][32]*, float[28][28]*, float[5][5][32]*) [140]
473.35ms  1.3752ms             (49 1 1)      (1024 1 1)        32  8.0000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[32][32]*, float[28][28]*, float[5][5][32]*) [141]
474.72ms  1.3585ms             (49 1 1)      (1024 1 1)        32  8.0000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[32][32]*, float[28][28]*, float[5][5][32]*) [142]
476.08ms  1.3695ms             (49 1 1)      (1024 1 1)        32  8.0000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[32][32]*, float[28][28]*, float[5][5][32]*) [143]
