==21502== NVPROF is profiling process 21502, command: ./mbnet
==21502== Warning: Unified Memory Profiling is not supported on the underlying platform. System requirements for unified memory can be found at: http://docs.nvidia.com/cuda/cuda-c-programming-guide/index.html#um-requirements
==21502== Profiling application: ./mbnet
==21502== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
429.57ms  1.9200us                    -               -         -         -         -  6.0000KB  2.9802GB/s    Pageable      Device  NVIDIA Tegra X2         1         7  [CUDA memcpy HtoD]
429.66ms  1.3760us                    -               -         -         -         -  9.3750KB  6.4976GB/s    Pageable      Device  NVIDIA Tegra X2         1         7  [CUDA memcpy HtoD]
429.74ms  18.181us              (9 1 1)       (400 1 1)        31  1.5000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[16][16]*, float[12][12]*, float[5][5][6]*) [111]
429.77ms  16.486us              (9 1 1)       (400 1 1)        31  1.5000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[16][16]*, float[12][12]*, float[5][5][6]*) [112]
429.80ms  15.365us              (9 1 1)       (400 1 1)        31  1.5000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[16][16]*, float[12][12]*, float[5][5][6]*) [113]
429.84ms  15.525us              (9 1 1)       (400 1 1)        31  1.5000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[16][16]*, float[12][12]*, float[5][5][6]*) [114]
429.86ms  15.621us              (9 1 1)       (400 1 1)        31  1.5000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[16][16]*, float[12][12]*, float[5][5][6]*) [115]
429.89ms  15.365us              (9 1 1)       (400 1 1)        31  1.5000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[16][16]*, float[12][12]*, float[5][5][6]*) [116]
429.92ms  15.525us              (9 1 1)       (400 1 1)        31  1.5000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[16][16]*, float[12][12]*, float[5][5][6]*) [117]
429.95ms  15.461us              (9 1 1)       (400 1 1)        31  1.5000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[16][16]*, float[12][12]*, float[5][5][6]*) [118]
429.98ms  15.429us              (9 1 1)       (400 1 1)        31  1.5000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[16][16]*, float[12][12]*, float[5][5][6]*) [119]
430.01ms  15.589us              (9 1 1)       (400 1 1)        31  1.5000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[16][16]*, float[12][12]*, float[5][5][6]*) [120]
430.03ms  15.269us              (9 1 1)       (400 1 1)        31  1.5000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[16][16]*, float[12][12]*, float[5][5][6]*) [121]
430.06ms  15.461us              (9 1 1)       (400 1 1)        31  1.5000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[16][16]*, float[12][12]*, float[5][5][6]*) [122]
430.09ms  15.365us              (9 1 1)       (400 1 1)        31  1.5000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[16][16]*, float[12][12]*, float[5][5][6]*) [123]
430.13ms  15.525us              (9 1 1)       (400 1 1)        31  1.5000KB        0B         -           -           -           -  NVIDIA Tegra X2         1         7  kernel_conv_filter(float[16][16]*, float[12][12]*, float[5][5][6]*) [124]
