Configuration,im2col_gpu_kernel,gemmSN_NN_kernel,ker2row_kernel,DtoH,HtoD,sgemm_32x32x32_NN,sgemm_32x32x32_NN_vec,maxwell_sgemm_64x64_nn,Total_time,Kernel_time
(1_256_3),11443.8,5916.21,39.74,0.0787,0.0179,,,,17399.847,17399.750
(1_400_6),20587.399999999998,,35.047,3.0702,0.0396,66983.0,,,87608.557,87605.447
(1_320_6),21706.600000000002,,44.229,2.5224,0.0388,55412.4,,,77165.790,77163.229
(1_256_6),14755.9,,33.836,0.0954,0.0341,24284.1,,,39073.965,39073.836
(1_128_6),6151.12,,22.298,0.02,0.01,3749.28,,,9922.728,9922.698
(1_32_6),459.11,,16.766,0.003,0.0035,265.27,,,741.153,741.146
(1_256_9),13172.0,,31.534,1.636,0.0187,21265.4,,,34470.589,34468.934
(1_64_9),1124.7,,21.416,0.0082,0.0048,909.06,,,2055.189,2055.176
(1_256_12),17055.399999999998,,28.857,1.6549,0.0188,19186.800000000003,,,36272.731,36271.057
(1_64_12),827.99,,20.124,0.0096,0.0045,791.26,,,1639.388,1639.374
(3_150_16),19329.0,,65.383,0.1138,0.0196,14225.300000000001,,,33619.816,33619.683
(3_64_16),1871.74,,39.768,0.0134,0.0096,1441.6,,,3353.131,3353.108
(3_32_16),524.32,,39.943,0.0042,0.0044,411.62,,,975.892,975.883
(6_150_16),40042.8,,103.97,0.1133,0.0332,20760.4,,,60907.317,60907.171
(6_128_16),28385.2,,109.75,0.0806,0.0259,14476.900000000001,,,42971.957,42971.851
(6_70_16),5639.02,,69.881,0.0187,0.0113,2958.8199999999997,,,8667.751,8667.721
(6_32_16),848.34,,50.534,0.0037,0.0062,414.42,,,1313.304,1313.294
(6_16_16),169.06,,42.544,0.0013,0.0048,86.529,,,298.139,298.133
(6_8_16),133.69,,90.758,0.0021,0.0044,130.79,,,355.244,355.238
(6_32_32),593.37,,113.27,0.0074,0.0075,565.25,,,1271.905,1271.890
(6_16_32),120.91,,73.304,0.0014,0.0056,93.846,,,288.067,288.060
(6_8_32),61.806,,72.95,0.0009599999999999999,0.0051,61.145,,,195.907,195.901
(16_32_32),1292.2800000000002,,238.5,0.0067,0.0159,,992.91,,2523.713,2523.690
(16_16_32),188.26,,181.54,0.0016,0.0103,,157.01,,526.822,526.810
(16_8_32),63.63,,182.02,0.0011,0.0088,,102.91,,348.570,348.560
(16_32_64),1063.96,,478.92,0.0114,0.0162,,1614.95,,3157.858,3157.830
(16_16_64),206.61,,376.37,0.0035,0.0108,,,422.12,1005.114,1005.100
(16_8_64),77.878,,429.38,0.0012,0.0093,,124.76,,632.029,632.018
(32_32_64),2767.3399999999997,,1287.1699999999998,0.0179,0.0242,,3991.15,,8045.702,8045.660
(32_8_64),95.819,,965.05,0.0014,0.0153,,237.9,,1298.786,1298.769
