Configuration,gemm_global_kernel,ker2row_kernel,im2col_gpu_kernel,HtoD,DtoH,Total_time,Kernel_time
(1_256_3),11039.300000000001,38.58,3735.71,0.0182,0.0645,14813.673,14813.590
(1_400_6),80896.7,41.027,8237.04,0.0552,3.7879,89178.610,89174.767
(1_320_6),53349.600000000006,42.29,5451.82,0.06,2.0299,58845.800,58843.710
(1_256_6),29803.3,39.226,3580.0299999999997,0.0408,0.1059,33422.703,33422.556
(1_128_6),7899.5,31.228,828.59,0.0157,0.0284,8759.362,8759.318
(1_32_6),243.43,11.758,70.912,0.0019,0.0015,326.103,326.100
(1_256_9),45196.6,36.7,2855.77,0.0228,2.0811,48091.174,48089.070
(1_64_9),2497.31,18.158,147.05,0.0037,0.0069,2662.529,2662.518
(1_256_12),56681.7,34.255,2841.2000000000003,0.0315,2.4342,59559.621,59557.155
(1_64_12),3587.22,27.274,190.54,0.0035,0.0111,3805.049,3805.034
(3_150_16),93062.70000000001,50.608,3511.46,0.0447,0.0783,96624.891,96624.768
(3_64_16),15928.699999999999,36.049,405.74,0.0128,0.012,16370.514,16370.489
(3_32_16),4420.33,41.107,136.76,0.007,0.0032,4598.207,4598.197
(6_150_16),182882.0,73.602,6934.610000000001,0.0371,0.081,189890.330,189890.212
(6_128_16),133153.0,76.323,3787.65,0.0265,0.0562,137017.056,137016.973
(6_70_16),37563.6,55.694,1296.14,0.0118,0.0178,38915.464,38915.434
(6_32_16),5680.92,52.045,227.38,0.0054,0.0034,5960.354,5960.345
(6_16_16),2310.4399999999996,87.954,136.23,0.0042,0.0018,2534.630,2534.624
(6_8_16),785.92,145.79,211.48,0.0058,0.0019,1143.198,1143.190
(6_32_32),20154.399999999998,91.916,229.29,0.0286,0.0052,20475.640,20475.606
(6_16_32),4259.9400000000005,86.518,78.883,0.0043,0.0016,4425.347,4425.341
(6_8_32),1386.27,242.28,211.91,0.0086,0.0019,1840.470,1840.460
(16_32_32),55997.3,225.78,522.67,0.0482,0.0058,56745.804,56745.750
(16_16_32),9863.5,182.65,85.005,0.0098,0.0015,10131.166,10131.155
(16_8_32),2268.0699999999997,371.72,132.38,0.0134,0.0014,2772.185,2772.170
(16_32_64),106560.0,475.03,527.92,0.0438,0.0112,107563.005,107562.950
(16_16_64),18218.1,362.72,98.745,0.0099,0.0023,18679.577,18679.565
(16_8_64),2579.96,437.01,78.229,0.0088,0.0013,3095.209,3095.199
(32_32_64),212159.0,948.06,1032.5200000000002,0.0234,0.013,214139.616,214139.580
(32_8_64),4341.77,725.8,75.229,0.0133,0.0014,5142.814,5142.799
